FIO:,Info:,Bio:,Image:,Link to page:
Ашимова Динара Ашимовна,"«Ыйман Нуру» парламенттик фракциясы Укук тартиби, кылмыштуулук менен күрөшүү жана коррупцияга каршы аракеттенүү боюнча комитети
 0312 63-87-33","1973-жылы 3-февралда Ош облусунун Алай районунда туулган;Эки жогорку жана бир академиялык билими бар;1995-жылы КМУнун юридикалык факультетин, 2008-жылы Кыргыз Республикасынын Президентине караштуу Мамлекеттик башкаруу академиясынын ""Мамлекеттик башкаруу"" факультетин бүтүргөн;2010-жылы АУПКнын аспирантурасын аяктаган;1997-2015-жылдары Жалал-Абад, Ош, Чүй облустарынын прокуратураларында, ошондой эле Башкы прокуратурада иштеп, Биринчи май жана Ленин райондорунун прокурорунун жардамчысы болгон;2015-жылдан 2021-жылына чейин ""Глобал консалтинг"" юридикалык компаниясынын жетекчиси болуп эмгектенген;2011-жылдан тартып Кыргыз улуттук ат оюндары федерациясынын президенти;Үч баланын энеси.2021 жылы “Ыйман Нуру” саясий партиясынын тизмеси боюнча VII чакырылыштагы Кыргыз Республикасынын Жогорку Кенешинин депутаты болуп шайланган. Жогорку Кенештин социалдык саясат боюнча комитетинин мүчөсү;",https://kenesh.kg/uploads/deputies/424/images/1704700364868динара.jpg,https://kenesh.kg/deputies/424
Алимбеков Нурбек Каарыевич,"«Мекенчил» депутаттык тобу Агрардык саясат, суу ресурстары, экология жана регионалдык өнүктүрүү боюнча комитети 0312 63-91-46 alim.nur@mail.ru","Ош обулустуна караштуу Кара-Суу районундагы Папан айылында 1975-жылдын 13-мартында туулган. Улуту кыргыз, үй-бүлөлүү, 5 баланын атасы. Жогорку билимдүү.1997-жылы Ош технологиялык университетинин «инженер-технолог» адистигин аяктаган.Ошондой эле, 2000-жылы Ош технологиялык университетинин юридикалык факультетин, 2007-жылы Кыргыз мамлекеттик улуттук университетинин «финансы-кредит» адистигин, 2012-жылы Кыргыз Республикасынын Президентине караштуу башкаруу академиясын бүтүргөн. Эмгек жолун:2003-жылы жеке ишкерликтен баштаган;2005-2006-жылдары Кыргыз Республикасынын Каржы министрлигинде жетектөөчү адис болуп иштеген;2008-2010-жылдары жоопкерчилиги чектелген «Папан Курулуш» ишканасынын директору болуп эмгектенген;2008-2010-жылдар арасында  Бишкек шаардык кеңешинин депутаты, Свердлов райондук аймактык депутаттык топтун жетекчиси болгон;2010-жылы «Республика» партиясынын тизмеси менен V чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган. Жогорку Кеӊештин Транспорт, коммуникациялар, архитектура жана курулуш боюнча комитетинин төрагасынын орун басары болгон;2015-жылдын 4-октябрында “Кыргызстан” саясий партиясынан VI чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган;2015-жылдын 6-ноябрында Кыргыз Республикасынын Жогорку Кеңешинин Төрагасынын орун басары кызмат ордуна шайланган;2019-жылдын 29-майынан тартып Кыргыз Республикасынын Жогорку Кеңешинин Агрардык саясат, суу ресурстары, экология жана регионалдык өнүктүрүү боюнча комитетинин төрагасы.2021-жылдын ноябрь айында №8 Төлөйкөн бир мандаттуу шайлоо округу      боюнча Кыргыз Республикасынын Жогорку Кеңешинин VII чакырылыштагы депутаты болуп шайланган.2022-жылдын 27-декабрында Кыргыз Республикасынын Жогорку Кеңешинин Агрардык саясат, суу ресурстары, экология жана регионалдык өнүктүрүү боюнча комитетинин төрагасынын орун басары болуп шайланган.Ошондой эле, Нурбек Алимбековдун эмгеги жогору бааланып, бир катар мамлекеттик сыйлыктар менен сыйланган. Ал Кыргыз Республикасынын мамлекеттик кызматынын 2-класстагы мамлекеттик кеңешчиси. ",https://kenesh.kg/uploads/deputies/418/images/1704699830664нурбек%20алимбаев.jpg,https://kenesh.kg/deputies/418
Абдалиев Мейкинбек Акимович,"«Ата-Журт Кыргызстан» парламенттик фракциясы Конституциялык мыйзамдар, мамлекеттик түзүлүш, сот-укук маселелери жана Жогорку Кеңештин Регламенти боюнча комитети 0312 63-88-29 a.meykinbek@mail.ru InstagramFacebook","1976-жылы 11-февралда Жалал-Абад облусунун Ноокен районундагы Масы айылында туулган;Жогорку билимдүү.Үй-бүлөлүү, эки уул, үч кыздын атасы. Билими:1998-2003-жылдары Жалал-Абад коммерциялык институтунун «Экономика жана бизнес» факультетин аяктаган; Эмгек тажрыйбасы:1999-2000-жылдары Ноокен райондук салык инспекциясында тышкы салыктык кѳзѳмѳл бѳлүмүндѳ инспектору;2000-2005-жылдары Ноокен районундагы «Айкыз» кредиттик союзунда башкы бухгалтер;2005-2006-жылдары «Токтомурад» дыйкан чарбасында тѳрага;2006-2013-жылдары Кыргыз Республикасынын коомчулукту өнүктүрүү жана инвестициялоо Агенттигинин (АРИС) Майлуу-Суу, Таш-Кѳмүр шаарлары жана Ноокен району боюнча эксперти;2013-2015-жылдары Кыргыз Республикасынын коомчулукту өнүктүрүү жана инвестициялоо Агенттигинин (АРИС) Түштүк аймактык ѳкүлчүлүгүнүн координатору;2004-2005-жылдары Ноокен райондук жана Масы айылдык кеңештеринде депутат, айыл чарба, ѳнѳр жай жана транспорт, телекоммуникация боюнча туруктуу комиссиясында мүчѳсү;2008-2012-жылдары Масы айылдык кеңешинде депутат, «Бюджет жана экономика» комиссиясынын тѳрагасы;2012-2016-жылдары Масы айылдык кеңешинин депутаты, айылдык кеңештин тѳрагасынын орун басары;2021-жылы Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылышынын депутаты;2021 – жылы Кыргыз Республикасынын Жогорку Кеңешинин VII чакырылышынын депутаты;",https://kenesh.kg/uploads/deputies/352/images/1707900770303АБДАЛИЕВ.jpg,https://kenesh.kg/deputies/352
Жакышов Русланбек Шергазиевич,"«Ишеним» парламенттик фракциясы Укук тартиби, кылмыштуулук менен күрөшүү жана коррупцияга каршы аракеттенүү боюнча комитети
 0312 63-91-79","1974-жылы 19-мартта Талас областына караштуу Бакай-Ата районунун Таш-Кудук айылында туулган. Жогорку билимдүү;2007-жылы И. Раззаков атындагы Кыргыз Мамлекеттик техникалык университетине тапшырып, 2013-жылы инженер-механик адистигин алып ийгиликтүү аяктаган;2016-жылы Жусуп Баласагын атындагы Кыргыз улуттук университетинин «Юриспруденция» бөлүмүн аяктаган;1993-1994-жылдары Кыргыз Республикасынын Армиясында жоокердик милдетин аткарган;2005-2010-жылдары ОАО «Ак-Жолтой» мекемесинде иштеген;2010-2011- жылдары Бишкек шаардык мэриясына караштуу транспорт башкармалыгынын КТП бөлүмүнүн жетектөөчү адиси болуп иштеген;2011-2013-жылдары ЖЧК «АИИД-Сервис» фирмасында директордун орун басары болуп эмгектенген;2013-2015-жылдары Бишкек шаарынын мэриясынын Ленин районуна караштуу Муниципалдык аймактык башкармалыгынын башчысынын орун басары болуп иштеген;2016-2017-жылдары Бишкек шаардык кеңешинин XXVI-чакырылышынын депутаты болуп эмгектенди;2017-2021-жылдары Бишкек шаардык кеңешинин XXVII-чакырылышынын депутаты, 2018-жылдан баштап Бишкек шаардык кеңешинин төрагасынын орун басары болуп шайланган;2021-жылы «Ишеним» партиясынын тизмеси менен VII чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланды;Үй бүлөлүү, үч кыз, бир уулдун атасы.",https://kenesh.kg/uploads/deputies/430/images/1704700612506170822151008_фото%20Жакышов%203176.jpg,https://kenesh.kg/deputies/430
Айжигитов Султанбай Абдрашитович,"«Ыйман Нуру» парламенттик фракциясы Бюджет, экономикалык жана фискалдык саясат боюнча комитети
","1958-жылдын 27-майында Ош областынын Жаңы-Ноокат районунун Караван айылында туулган;1975-жылы Баткен шаарындагы Жоомарт Бөкөнбаев атындагы орто мектепти аяктаган. Билими жогору: 1983-жылы Рига Кызыл Туу ордендүү жарандык авиациялык инженерлердин Ленин комсомол атындагы институтунун учуучу аппараттарды жана авиакыймылдаткычтарды эксплуатациялоо боюнча инженер-механик квалификациясына ээ болгон;   1988-жылы Киев шаарында СССРдин МККнын (КГБ) жогорку курсун бүтүргөн; 2002-жылы Кыргыз мамлекеттик Улуттук университетинин ""Финансы жана кредит"" адистигине ээ болгон. Класстык чени: Кыргыз Республикасынын мамлекеттик кызматынын экинчи класстагы мамлекеттик кеңешчиси (2005-ж.) Эмгек жолу: 1983-1987-жылдары – Манас аэропортуна караштуу Фрунзе биргелешкен авиаотрядынын Авиа техникалык базасында инженер;1987-1993-жылдары – Кыргыз Республикасынын Улуттук коопсуздук мамлекеттик комитетинде оперативдик кызматкер, ага оперативдик кызматкер жана бөлүмдүн башчысы;1993-1994-жылдары – «Кыргызстан аба жолдору» Улуттук авиакомпаниясынын Президентинин жардамчысы, авиациялык коопсуздук болумунун башчысы;1995-1997-жылдары – «Кыргыз Жер» акционердик коммерциялык банкынын төрагасынын кеңешчиси;1997-1998-жылдары – «Кыргызстан аба жолдору» Улуттук авикомпаниясынын Президентинин жардамчысы;21.03.2000-2.10.2000-жылдары – Баткен облустук мамлекеттик администрациясынын башчысы-губернатордун кеңешчиси, пресс-катчысы;2000-2001-жылдары – Баткен облустук мамлекеттик администрациясынын аппаратынын өнөр жай, курулуш жана коммуникация бөлүмүнүн башчысы;2001-2004-жылдары – «Баткен» авиаишканасынын генералдык директору;2004-2004-жылдары – Баткен облустук суу чарба башкармалыгынын начальнигинин финансы-экономикалык маселелер боюнча орун басары;2005-2008-жылдары – Баткен облустук мамлекеттик администрациясынын башчысы-губернатор;2008-2010-жылдары–Кыргыз Республикасынын Президентинин кеңешчиси;2010-2010-жылдары – Баткен облусунун мамлекеттик администрациясынын башчысы-губернатордун орун басары;2010-2011-жылдары – Баткен облустук мамлекеттик администрациясынын башчысы-губернатор;2011-жылдын январь айынан 2011-жылдын ноябрь айына чейин –Кыргыз Республикасынын Президентинин кеңешчиси;2021-жылы ""Ыйман Нуру"" саясий партиясынын тизмеси мененVII чакырылыштагы Жогорку Кеңештин депутаты болуп шайланган.Бир катар медалдардын жана башка сыйлыктардын ээси.Үй бүлөлүү, 5 баланын атасы.",https://kenesh.kg/uploads/deputies/407/images/1706761381786АЙЖИГИТОВ.jpg,https://kenesh.kg/deputies/407
Исаева Джамиля Кубанычбековна,"«Ата-Журт Кыргызстан» парламенттик фракциясы Конституциялык мыйзамдар, мамлекеттик түзүлүш, сот-укук маселелери жана Жогорку Кеңештин Регламенти боюнча комитети 0312 63-85 -40","1977-жылдын 19-июлунда Талас облусунун Киров районунун Киров айылында төрөлгөн;1995-жылы Кыргыз мамлекеттик улуттук университетинин Финансы жана кредит факультетине ташырып, 2000-жылы  аталган университетти ийгиликтүү аяктап “Банк иши” адистигине ээ болгом. 2013-жылы Ж.Баласагын атындагы Кыргыз улуттук университетинин юриспруденция факультетин бүтүрүп, “юриспруденция” адистиги боюнча “юрист” квалификациясы ыйгарылган;1998-2005-жылдары “Тынай-Ата” КБда башкы бухгалтер жана кадрлар боюнча адис;2005-2009-жылдары “Кыргызгаз” Ачык акционердик коомунун Бишкек шаардык газ чарба башкармалыгында бухгалтер;2009-2011-жылдары “Азия Универсал Банк” Ачык акционердик коомунда бөлүмдүн адиси, жетектөөчү адиси, башкы бухгалтер;2011-жылы “Финанс Кредит Банк КАБ” Ачык акционердик коомунда Бухгалтердик эсеп жана отчеттуулук бөлүмүнүн башкы адис;2011-2014-жылдары  “Азия Транс Инвест” Жоопкерчилиги чектелген коомунда башкы бухгалтер;2014-2019-жылдары Кыргыз Республикасынын Өкмөтүнүн Соттук өкүлчүлүк борборунда эксперт;2019-2021-жылдын ноябрь айына чейин Кыргыз Республикасынын Өкмөтүнүн Соттук өкүлчүлүк борборунда директордун орун басары;2021-жылдын ноябрь айынан тартып Кыргыз Республикасынын Жогорку Кенешинин VII-чакырылышынын депутаты.Беш баланын энеси.",https://kenesh.kg/uploads/deputies/433/images/1704700756544170822152832_Исаева-Джамиля-фото.jpg,https://kenesh.kg/deputies/433
Бакасов Улан Болотбекович,"«Мекенчил» депутаттык тобу Эл аралык иштер, коргоо, коопсуздук жана миграция боюнча комитети 0312 63 91 83 urmatderbishev@mail.ru","1984-жылдын 13-июлунда Нарын облусунда туулган;2007-жылы Джалал-Абад мамлекеттик университетин инженердик факультетин аяктаган;2012-жылы Кыргыз Мамлекеттик юридикалык академиясын «Юриспруденция» адистиги боюнча аяктаган;2004-2021 жылдары жеке ишкерлик менен алектенген;2021-жылы Нарын шайлоо округу боюнча 7 чакырылыштагы Жогорку Кенештин депутаты болуп шайланган;Үй-бүлөлүү, 7 баланын атасы. ",https://kenesh.kg/uploads/deputies/425/images/1704700416471бакасов.jpg,https://kenesh.kg/deputies/425
Айдарбеков Чингиз Азаматович,"«Альянс» парламенттик фракциясы Эл аралык иштер, коргоо, коопсуздук жана миграция боюнча комитети 0312 63-86-39 ch.aidarbekov@gmail.com Facebook","1977-жылы 27-октябрьда Бишкек шаарында туулган Билими: жогорку1998-ж. - Кыргызстан Эл аралык Университети, “Эл аралык мамилелер” адистиги2001-ж. - Кыргызстан Эл аралык Университети, “Юриспруденция” адистигинин магистри2017-ж. – Б.Н. Ельцин атындагы Кыргыз-Орус Славян университети, аспирантура Эмгек ишмердүүлүгү:1998-2005-жылдары - Кыргыз Республикасынын Тышкы иштер министрлиги, КМШ Башкы дирекциясы, атташе, үчүнчү катчы, экинчи катчы, биринчи катчы;2005-2008-жылдары - Кыргыз Республикасынын Өзбекстан Республикасындагы элчилиги, биринчи катчы; Кыргыз Республикасынын Өзбекстан Республикасындагы убактылуу ишенимдүү өкүлү;2008-2008-жылдары - Кыргыз Республикасынын Тышкы иштер министрлигинин КМШ департаментинин Көп тараптуу кызматташуу департаменти, башчы;2008–2010-жылдары - Кыргыз Республикасынын Түркмөнстандагы элчилиги, кеңешчи;01.2011-04.2011-жылдары - Кыргыз Республикасынын Президентинин Аппаратынын тышкы байланыштар жана протокол бөлүмү, эксперт;04.2011-12.2011-жылдары - Кыргыз Республикасынын Президентинин Аппаратынын тышкы байланыштар жана протокол бөлүмү, жетекчинин орун басары;2012–2016-жылдары - Кыргыз Республикасынын Жогорку Кеңешинин Аппаратынын эл аралык мамилелер жана протокол бөлүмү, башчы;04.2016-10.2018-жылдары - Кыргыз Республикасынын Жапониядагы Атайын жана Ыйгарым укуктуу элчиси;2018-жылдын 17-октябры – 2020-жылдын 14-октябры - Кыргыз Республикасынын Тышкы иштер министри; 2021-ж. декабрь айы - ""Альянс"" саясий партиясынын тизмеси боюнча Кыргыз Республикасынын Жогорку Кеңешинин депутаты;2022-ж. февраль айы - ТӨМдөрдү ишке ашыруу боюнча Жогорку Кеңештин жумушчу тобунун төрагасы (30 депутат)2022-ж. март айы -  Кыргыз Республикасынын Жогорку Кеңешинин Эл аралык иштер, коргоо коопсуздук жана миграция боюнча Комитеттин төрагасы; Дипломатиялык ранг: ""Кыргыз Республикасынын Атайын жана Ыйгарым укуктуу элчиси""Класстык чени: Мамлекеттик кызмат боюнча 3-класстагы мамлекеттик кеңешчи;Үй-бүлөлүк абалы: үй-бүлөлүү, төрт баланын атасы",https://kenesh.kg/uploads/deputies/405/images/1704699291467060922105753_Чингиз%20Айдарбеков%20001%20(1).jpg,https://kenesh.kg/deputies/405
Атазов Шайлообек Карыбекович,"«Ата-Журт Кыргызстан» парламенттик фракциясы Укук тартиби, кылмыштуулук менен күрөшүү жана коррупцияга каршы аракеттенүү боюнча комитети
 0312 63-85-10 InstagramFacebook","1979-жылы 28-июнда Ош облусунун Кара-Суу районундагы Учар айылында туулган.Жогорку билимдүү.Үй-бүлөлүү, 3 баланын атасы. Билими:1996-2001-жылдары Ош технологиялык университетинин ""Юриспруденция"" факультети;2014-2017-жылдары Ош мамлекеттик университетинин ""Финансы жана кредит"" факультети; Эмгек тажрыйбасы:2007-2010-жылдары Спорт комитетине караштуу Ош шаарындагы №2 балдар жана өспүрүмдөр спорт мектебинин директору;2010-2011-жылдары Бокс жана оор атлетика боюнча мектебинин директору;2012-2013-жылдары Ош шаарынын мэриясына караштуу ""Ош-Тазалык"" муниципалдык ишканасынын башчысы;2013-2014-жылдары Жүргүнчү транспорту агенттигинин директору;2010-2015-жылдары Ош шаардык кеңешинин депутаты;2018-2021-жылдары Бишкек шаарынын ""EREM"" спорт клубунун башкы машыктыруучусу;2021-жылы Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылышынын депутаты;2021-жылдын №29 Свердлов шайлоо округунан Кыргыз Республикасынын Жогорку Кеңешинин VII чакырылышынын депутаты болуп шайланган;",https://kenesh.kg/uploads/deputies/422/images/1704700259470атазов.jpg,https://kenesh.kg/deputies/422
Алимжанова  Нилуфар  Якубжановна,"«Альянс» парламенттик фракциясы Агрардык саясат, суу ресурстары, экология жана регионалдык өнүктүрүү боюнча комитети 0312 63-92-16 nilufaralimzhanova22@gmail.com","1991-жылы 16-июнда Ош облусунун Ноокат районунда туулган.Жогорку билимдүү.2013-жылы Б.Н.Ельцин атындагы Кыргыз-Россия Славян университетин ""Финансы жана кредит"" адистиги боюнча аяктаган;2018-жылы КР ТИМинин алдындагы К.Дикамбаев атындагы Дипломатиялык академиясынын Эл аралык иштер факультетин бүтүргөн;Эмгек жолун 2016-жылы баштап, КР Улуттук статистика комитетинин башкы экономисти болуп иштеген;2018-жылы Коомчулукту өнүктүрүү жана инвестициялоо агенттигинде эмгектенген;2021-жылы ""Альянс"" саясий партиясынын тизмеси боюнча Кыргыз Республикасынын Жогорку Кеңешинин VII чакырылышынын депутаты болуп шайланган;Үй-бүлөлүү, эки баланын энеси.",https://kenesh.kg/uploads/deputies/419/images/1704700150955060922105847_Нилуфар%20Алимжанова%20001%20(1).jpg,https://kenesh.kg/deputies/419
Абдибаева Айсаракан Нышановна,"«Ишеним» парламенттик фракциясы Бюджет, экономикалык жана фискалдык саясат боюнча комитети
 0312 63-90-90","1965-жылы 13-августта Аксы районуна караштуу Кош-Дөбө айылында туулган;Жогорку билимдүү. 1992-жылы Кыргыз Мамлекеттик Университеттин экономика факультетин бүтүргөн;1982-жылы Жаны-Жол РК ЛКСМ сектор башчысы;1984-жылдан 1989-жылга чейин Караван РАЙПОсунун складында кладовщик;1989-жылдан 1994-жылга чейин, Жаңы-Жол автотранспорттук ишканасында кассир, башкы экономист;1995-жылы Кыргыз Мамлекеттик мүлк фондунун борбордук бухгалтериясында башкы адис;1995-жылдан 1997-жылга чейин АКБ Кыргызстан Банкынын Таш-Көмүр шаарындагы филиалында башкы адис;1999-жылдан 2000-жылга чейин АООТ РСК Каныш-Кыя филиалына башкы экономист, кийинчерээк филиалдын директорунун м.а.;2006-жылы ОАО Кыргыз Пром Строй Банкынын Ала-Бука аманат кассасынын жетекчиси;2008-жылдан 2010-жылга чейин ОАО РК Аман Банктын аманат кассасынын жетекчиси;2021-жылдын ноябрь айында “Ишеним” партиясынын тизмеси менен Кыргыз Республикасынын Жогорку Кеңешинин VII чакырылышына депутат болуп шайланган;Үй-бүлөлүү, төрт баланын энеси.",https://kenesh.kg/uploads/deputies/404/images/1704699078127aisarakan.jpeg,https://kenesh.kg/deputies/404
Икрамов Тазабек Икрамович,"«Элдик» депутаттык тобу Транспорт, коммуникациялар, архитектура жана курулуш боюнча комитети
 0312 63-89-37 ikramov_777@bk.ru Facebook","1974- жылы 16-октябрда Жалал-Абад облусунун Сузак районуна караштуу  Кызыл – Сеңир айылында туулган.Жогорку билимдүү.1996-жылы Кыргыз Мамлекеттик дене тарбия жана спорт академиясын ""окутуучу-машыктыруучу"" адистиги боюнча аяктаган;2010-жылы ""Юриспруденция"" адистиги боюнча Кыргыз Республикасынын Өкмөтүнө караштуу Кыргыз Мамлекеттик Юридикалык академиясынын бүтүргөн;2019-жылы Кыргыз Республикасынын Тышкы иштер министрлигинин К.Дикамбаев атындагы Дипломатиялык академиясында ""Эл аралык мамилелер"" багыты боюнча магистр даражасын алган.Эмгек жолун 1998-жылы Жалал-Абад облусунун Дене-тарбия жана спорт мамлекеттик институтунун филиалында дене тарбия мугалими болуп иштөө менен баштаган;2000-2007-жылдары жеке ишкер;2007 – жылдан 2010-жылга чейин - ""Элдик чындык""коомдук фондунун төрагасы;2010-2011-жылдары Кыргыз Республикасынын Соода жана өнөр – жай палатасынын Кытай Элдик Республикасындагы өкүлү;2011-2012 – жылдары Ош жана Жалал-Абад шаарларын калыбына келтирүү жана өнүктүрүү боюнча мамлекеттик дирекциянын башкы директорунун кеңешчиси;2015- жылы ""Өнүгүү-Прогресс"" партиясынан Кыргыз Республикасынын Жогорку Кеңешинин VI чакырылыштагы  депутаты болуп шайланган;2015 - жылдан 2021-жылдын июнь айына чейин- Кыргыз Республикасынын Жогорку Кеңешинин Социалдык маселелер, билим берүү, илим, маданият жана саламаттык сактоо боюнча комитетинин төрагасынын орун басары;2021 –жылдын июнь айынан тартып  Кыргыз Республикасынын Жогорку Кеңешинин Эл аралык иштер, коргоо жана коопсуздук боюнча комитетинин төрагасы.2021- жылы №13 Сузак бир мандаттуу шайлоо округунан  VII чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган. Жогорку Кеңештин Транспорт, коммуникациялар, архитектура жана курулуш боюнча комитетинин мүчөсү.Сыйлыктары:- Кыргыз Республикасынын Жаштар, эмгек жана иш менен камсыз кылуу министрлигинин диплому;- Кыргыз Республикасынын Билим берүү министрлигинин Ардак грамотасы;- Кыргыз Республикасынын Жогорку Кеңешинин Ардак грамотасы;- Кыргыз Республикасынын Өкмөтүнүн Ардак грамотасы,- Кыргыз Республикасынын Өкмөтүнө караштуу Жаштар иштери, дене тарбия жана спорт мамлекеттик агенттигинин Ардак грамотасы;- Сузак райондук билим берүү бөлүмүнүн Ардак грамотасы;- Сузак районунун «Ардактуу атуулу»;- Кызыл-Туу айыл өкмөтүнүн «Ардактуу атуулу»;- Кыргыз Республикасынын мамлекеттик жарандык кызматынын үчүнчү класстагы мамлекеттик кеңешчиси- Грек-рим күрөшү боюнча Кыргыз Республикасынын эл аралык класстагы спорт чебери.-Үй-бүлөлүү, беш баланын атасы.",https://kenesh.kg/uploads/deputies/432/images/1704700663236тазабек.jpeg,https://kenesh.kg/deputies/432
Акаев Жанарбек Кубанычович,"«Альянс» парламенттик фракциясы Конституциялык мыйзамдар, мамлекеттик түзүлүш, сот-укук маселелери жана Жогорку Кеңештин Регламенти боюнча комитети 0312 63-91-94 akaevj@gmail.com FacebookTwitter","1986-жылдын 13-декабрында Ош облусунун Алай районуна караштуу Кабылан-Көл айылында төрөлгөн.Билими жогорку. 2011-жылы Ош мамлекеттик университетин журналистика адистиги боюнча бүтүргөн.2008-2014-жылдары “Азаттык” радиосунун кыргыз кызматында эмгектенген.2015-жылы Кыргыз Республикасынын Президентинин пресс-катчысы.2015-жылдын 4-октябрында Кыргызстан социал-демократиялык партиясынын тизмеси боюнча VI чакырылыштагы Жогорку Кеңештин депутаты болуп шайланган. Жогорку Кеңештин Социалдык маселелер, билим берүү, илим, маданият жана саламаттык сактоо боюнча комитетинин мүчөсү.2015-2017-жж. - Жогорку Кеңештин Социалдык маселелер, билим берүү, илим, маданият жана саламаттык сактоо боюнча комитетинин Төрагасынын орун басары болуп иштеген.Үй-бүлөлүү. Учурда эки уулду тарбиялоодо.2011-ж. “Евразиянын алтын калеми” сыйлыгынын ээси.2014-ж. Мелис Эшимканов атындагы коомдук фонддун “Курч калем” сыйлыгын алган.",https://kenesh.kg/uploads/deputies/408/images/1704699496044060922105832_Жанар%20Акаев%20001%20(1).jpg,https://kenesh.kg/deputies/408
Исатбек кызы Аида ,«Ынтымак» парламенттик фракциясы Социалдык саясат боюнча комитети 0312- 63-85-06,"1991-жылы 16-мартта Жалал-Абад облусуна караштуу Тогуз-Торо  районунун Казарман айылында туулган.Жогорку билими бар. 2010-жылы Чүй университетинин юридикалык факультетине тапшырып юрист адистигине ээ болгон.2022-жылы Кыргыз Республикасынын Тышкы иштер министрлигинин алдындагы К.Дикамбаев атындагы Дипломатиялык академиянын эл аралык мамилелер факультетине тапшырып билим алып жатат.2014-2021-жылдары  «Нурс Мебель» ЖЧКсынын юрист-консультант,  башкы директору болуп иштеген.2021-жылы “Ынтымак” саясий партиясынан VII чакырылыштагы Кыргыз Республикасынын Жогорку Кеңешинин депутаты болуп шайланган.Азыркы учурда Социалдык саясат боюнча комитетинин төрайымынын орун басары болуп дайындалган.Көз карандысыз Мамлекеттердин Шериктештигине катышкан мамлекеттердин Парламенттер аралык Ассамблеясынын Кыргыз Республикасынын парламенттик делегациясынын мүчөсүҮй-бүлөлүү, эки баланын энеси.",https://kenesh.kg/uploads/deputies/434/images/1704700929651исатбек%20кызы.jpeg,https://kenesh.kg/deputies/434
Козуев Алишер Абибиллаевич,"«Ата-Журт Кыргызстан» парламенттик фракциясы Отун-энергетикалык комплекс, жер казынасын пайдалануу жана өнөр жай саясаты боюнча комитети 0312 63-85-43","1984-жылы Кыргыз Республикасынын Ош областынын, Кара-Суу районунун, Жоош айыл округуна караштуу Мамажан айылында педагогдун үй-бүлөсүндө туулган;1990-жылдан 2001-жылга чейин Мамажан айылындагы ата-энеси эмгектенген Т.Бердибеков атындагы №41 орто мектебинде билим алып, 2001-2006-жылдары Ош Мамлекеттик Университетинин Дүйнөлүк тилдер факультетинин “Чет тили жана адабияты” адистиги боюнча, 2011-жылы Ош Мамлекеттик Университетинин “Экономика жана ишканаларды башкаруу” багыты боюнча экономиканын бакалавры даражасын алып, 2020-2022-жылдары Кыргыз Республикасынын Президентине караштуу Жусуп Абдрахманов атындагы Мамлекеттик башкаруу Академиясынын “Мамлекеттик жана муниципалдык башкаруу” багыты боюнча билим алып, магистр квалификациясы ыйгарылган.Алгач эмгек ишмердигин айыл чарба багытында көп жылдар бою иш алып барган, тактап айтканда 2002-2011-жылдар арасы башкы инженер, андан соң агротехник катары “Самидин” дыйкан чарбасында эмгектенген;Экономика тармагында бакалавр даражасын алгандан соң,бул тармакта адистердин жетишсиздигин эске алганда, 2011-жылдан баштап 2017-жылга чейин “Самидин” дыйкан чарбасында экономист болуп эмгектенип, ошол жылдардын мыкты экономисти наамына татыган;2011-2017-жылдар арасы күйүүчү-майлоочу материалдарды чекене жана дүң сатуу жаатында ишкердик ишин алып барган;2017-2018-жылдары “РОССИЯ Нефть” ЖЧКсында аткаруучу директор, 2018-2020-жылдары директор, андан соң 2020-2021-жылдары башкы директор болуп эмгектенген;Үй-бүлөлүү,  2 уул, 3 кыздын атасы ",https://kenesh.kg/uploads/deputies/439/images/1704701106885козуев.jpeg,https://kenesh.kg/deputies/439
